id,ra,dec,d,d_err,vr,vt,m_abs,bp-rp,l,b,pmra,pmdec
5.11E+17,25.89540143,61.8646775,2507.7148,561.346,-43.31469,-17.99436748,-1.689257715,-0.245985,129.0378744,-0.3873347168,-1.90373453,-1.060184904
5.11E+17,25.84878902,61.88770426,3056.373,183.1007,-65.67348,-13.94665901,-2.135282772,-0.23374,129.0117329,-0.3691782575,-1.62945228,0.1168999206
5.12E+17,24.54755428,61.88894162,2550.9548,408.9683,-81.54086,-8.528851301,-4.916761817,-0.4567286,128.4095507,-0.4845705604,-1.131234556,0.2365051177
5.11E+17,26.33749922,61.18538483,2914.081,78.804,-86.417656,-1.828207649,-2.623145096,-0.2200242,129.3828917,-1.00930183,-1.457551696,-0.073323397
5.11E+17,27.21924021,61.46546702,2734.2014,1392.3275,-60.606133,-4.974709957,-1.593747507,-0.2628772,129.7362376,-0.6451353252,-1.877096969,-0.04641205782
5.10E+17,22.61101125,60.5388373,2970.916,55.8553,-63.84469,-17.84281242,-3.374890863,-0.2852493,127.7132996,-1.970291061,-1.582833792,-0.7145664925
5.10E+17,26.52028626,60.26584218,2962.239,102.8171,-24.564623,-10.35014773,-1.386020477,-0.1750288,129.6624677,-1.889889578,-0.3298610978,-0.6832282994
5.10E+17,23.35139561,60.66242399,3508.228,32.8578,-57.176365,-22.20147082,-2.738721052,-0.2290907,128.0531135,-1.79135278,-1.68746789,-0.9371633437
5.10E+17,23.35208707,60.67575765,3210.8865,1195.7825,-31.91765,-15.55384618,-1.447707771,-0.23192525,128.0512848,-1.778140647,-1.438223583,-0.6427314864
5.10E+17,26.0452908,60.64117762,3308.3367,27.4192,-29.770962,-10.46051088,-2.162814513,-0.2371927,129.3555711,-1.571078111,-0.869554078,-0.4356448324
5.08E+17,28.36456383,61.50835731,2679.224,253.2949,-46.046288,-8.67427551,-2.211365124,-0.227913,130.2585783,-0.478003078,-0.9954240931,-0.638098113
5.08E+17,29.30888691,61.10733888,3165.3728,149.084,-86.58197,-12.58009705,-2.873909331,-0.2294045,130.7964042,-0.7557209456,-0.4244433172,0.8359346146
5.11E+17,26.76372669,61.87186211,3219.756,491.0471,0,0,-0.3523478059,-1.5855542,129.4369099,-0.2954289971,-0.8673904566,-1.018518218
5.11E+17,26.68078963,62.03245287,2650.4382,313.957,0,0,-0.2981934114,-1.4162747,129.3645641,-0.1468477869,-0.05263730431,0.4526044111
5.11E+17,25.26972798,61.65993067,2832.6848,407.3581,0,0,-0.1828242608,-2.3461748,128.7877165,-0.6461332401,-1.131891132,-0.6017814526
5.11E+17,25.43856741,61.82599571,3368.0835,477.7525,0,0,-0.224278249,-1.5593252,128.8341792,-0.4677844171,-0.9359886341,-1.334027889
5.11E+17,25.76661292,61.93724181,2668.6917,263.0297,0,0,-0.3985230246,-2.498055,128.9639401,-0.3283514849,-0.2788259511,1.076582912
5.12E+17,23.98656035,62.01978891,2612.0657,184.4016,0,0,-0.9550244817,-2.6221372,128.1268636,-0.4021990294,-0.2689837565,-0.5120789951
5.12E+17,24.43941099,62.33197822,2890.8447,203.7534,0,0,-0.07001380712,-1.6671702,128.2802698,-0.05780704046,-0.7071287346,-0.5391350805
5.12E+17,24.46919072,62.34624432,2611.5293,210.3794,0,0,-0.3475925138,-2.3670132,128.2913198,-0.04129806802,-1.939260353,0.7820399909
5.12E+17,25.43165292,62.23696609,2541.2905,591.375,0,0,-1.092024565,-1.2501776,128.7513598,-0.06523219123,-2.424004966,-0.08409327354
5.11E+17,27.54468883,62.03010569,3074.6072,781.5702,0,0,-0.1179611993,-1.5502676,129.7603894,-0.06035893814,-2.136347993,0.9499028229
5.11E+17,27.84439146,62.05084784,2790.5583,160.3634,0,0,-0.4442575009,-2.3087104,129.8924809,-0.008143418284,0.885107278,0.6775873804
5.12E+17,23.71666717,62.11475977,2612.8774,274.659,0,0,-0.4438751624,-2.394515,127.9861507,-0.3300607151,0.4647673,-0.4448876513
5.12E+17,23.34983506,62.20741807,3011.4539,373.4834,0,0,-0.3857040964,-2.3665082,127.801912,-0.2669088992,-0.2090858757,-0.9558202046
5.12E+17,23.37409779,62.321377,3470.1523,454.7217,0,0,-0.3052226789,-1.781925,127.7945669,-0.1526277131,0.2725696058,0.4004704204
5.11E+17,26.75544591,60.90321181,3454.674,308.8322,0,0,-0.1628263574,-1.5036098,129.6401768,-1.242524587,-1.985313796,1.094807847
5.11E+17,23.03474695,62.06714862,2605.628,245.9036,0,0,-0.7601050625,-2.5952538,127.6789324,-0.4288867695,-0.08348417228,0.07878586802
5.11E+17,27.60726215,61.22798284,2921.7139,402.3403,0,0,-0.4611684335,-2.4844584,129.9707191,-0.8349877438,-3.695874521,-0.1422723103
5.11E+17,26.97564885,61.10815901,2987.0493,322.2822,0,0,-0.5068769526,-2.3282968,129.7002653,-1.019394881,1.053564521,0.6439310467
5.11E+17,26.8298801,61.15275839,2595.027,171.293,0,0,-0.5920394042,-1.9419733,129.6219019,-0.9910498112,-0.5592587492,-0.7872537188
