id,ra,dec,d,d_err,vr,vt,m_abs,bp-rp,l,b,pmra,pmdec
4.30E+17,4.317389833,62.06734814,2235.9866,104.7727,-47.267582,-30.22311555,-0.5223279827,-0.2254459,118.9419258,-0.5394094842,-3.719164368,0.9626689227
4.30E+17,7.957952806,61.79607478,2450.2356,119.615,-107.312614,-10.83149595,-0.7122807277,-0.2255726,120.6172549,-0.9875289566,-1.761524047,-0.2512815363
4.31E+17,6.886661137,62.22803532,2280.9922,132.5962,-45.100246,-19.9978792,-0.7222020009,-0.2334932,120.1526987,-0.5147229044,-2.148532568,-0.5413688814
4.30E+17,7.930910782,62.41271677,2255.624,477.3713,-38.321587,-18.77623052,-6.523339534,-0.231616,120.6516667,-0.3717177844,-1.137484155,-1.415809299
4.31E+17,6.909415429,62.8876889,2482.3315,31.3718,-78.11591,-37.93574236,-1.770864892,-0.2286454,120.2241156,0.1411372412,-3.222351853,0.2090499453
4.31E+17,7.98133404,62.71081845,2204.021,549.9892,-97.61577,-18.79843864,-1.921870641,-0.2235206,120.6975118,-0.07624745935,-1.804285863,0.1727733914
4.31E+17,6.386515074,63.04063649,2345.4858,574.4277,-69.69791,-38.87640859,-0.86797104,-0.19325055,120.0022641,0.3162608173,-3.357685103,-1.19922453
4.31E+17,7.045863391,62.68228542,2211.1094,147.3736,-106.82832,-19.61396066,-2.149826154,-0.4247337,120.2675238,-0.0691013238,-1.761249947,0.6849648654
4.31E+17,5.14337319,63.53872979,2442.2854,272.0048,-54.846073,-23.86084122,-1.710213066,-0.2111554,119.5016155,0.872734185,-1.834104422,-1.517675913
4.29E+17,5.452386333,61.66764382,2055.8804,381.0213,-40.71669,-8.993115053,-1.177805231,-0.245862,119.4236774,-1.002122001,-2.147323595,0.3612392564
4.31E+17,6.33920812,63.24652776,2236.4358,160.6975,0,0,-0.0325921783,-0.2640872,120.0017348,0.5232575676,-0.7791983728,-0.4203346973
4.31E+17,6.280035175,63.69568632,2123.2732,163.479,0,0,-0.4829853906,-0.2301025,120.0210457,0.9727784719,-1.054646285,-1.507159817
4.31E+17,6.924807596,62.60796117,2157.5044,260.0036,0,0,-0.1321704504,-0.2555568,120.20536,-0.1380499774,-0.5737174047,0.288427541
4.31E+17,7.033342958,62.6796657,2327.0134,279.6037,0,0,-0.5041314208,-0.2421833,120.2615647,-0.07119178522,-0.947904799,0.1898086685
4.30E+17,7.277643649,62.41020514,2349.5105,384.8254,0,0,-0.7366059512,-0.2776538,120.3499239,-0.3495588437,-0.6939753315,-0.7234993851
4.31E+17,7.392236364,63.67074394,2187.742,223.4478,0,0,-0.7247455221,-0.238175,120.5096962,0.9018923543,-1.17148507,-1.496029222
4.30E+17,7.674065423,62.38352149,2020.3134,270.8793,0,0,-0.5962667218,-0.183118,120.5307376,-0.3914871157,-0.9460192085,-0.3096206025
4.30E+17,7.89884161,62.46625761,2249.4226,293.0879,0,0,-0.546201271,-0.249717,120.6409795,-0.3171964664,-0.3633363608,-0.1290613571
4.30E+17,8.147547488,62.32971269,2128.4373,145.4017,0,0,-1.211227306,-0.2562375,120.7456435,-0.4620027092,-1.659676704,-0.1672762965
4.31E+17,8.4838741,62.31679278,2265.6716,247.4309,0,0,-0.4850488042,-0.270786,120.9005668,-0.485904997,-0.8436288285,-0.07991304559
4.31E+17,8.432734696,63.62100462,2190.031,176.876,0,0,-0.04146031172,-0.2332607,120.9664581,0.816848613,-1.371271423,-0.4525785805
4.31E+17,8.677064705,62.42482536,2038.0499,220.3467,0,0,-0.1086420657,-0.2679788,120.9971375,-0.3840605124,-0.2998368307,-1.011512493
